Origen,Destino,Peso
Nodo_18,Nodo_29,895
Nodo_22,Nodo_35,457
Nodo_48,Nodo_24,231
Nodo_1,Nodo_44,748
Nodo_45,Nodo_9,330
Nodo_25,Nodo_50,979
Nodo_31,Nodo_6,890
Nodo_4,Nodo_14,652
Nodo_13,Nodo_7,454
Nodo_35,Nodo_36,310
Nodo_26,Nodo_8,625
Nodo_42,Nodo_8,1000
Nodo_47,Nodo_48,692
Nodo_50,Nodo_32,462
Nodo_46,Nodo_20,877
Nodo_4,Nodo_20,676
Nodo_47,Nodo_19,339
Nodo_33,Nodo_18,690
Nodo_45,Nodo_5,564
Nodo_30,Nodo_6,984
Nodo_41,Nodo_29,376
Nodo_34,Nodo_26,224
Nodo_41,Nodo_28,961
Nodo_5,Nodo_7,836
Nodo_41,Nodo_6,113
Nodo_24,Nodo_46,225
Nodo_13,Nodo_9,400
Nodo_10,Nodo_35,385
Nodo_39,Nodo_32,871
Nodo_42,Nodo_18,193
Nodo_11,Nodo_8,513
Nodo_38,Nodo_30,122
Nodo_37,Nodo_10,765
Nodo_6,Nodo_27,694
Nodo_19,Nodo_12,443
Nodo_47,Nodo_44,393
Nodo_31,Nodo_38,236
Nodo_19,Nodo_25,706
Nodo_24,Nodo_47,832
Nodo_45,Nodo_1,619
Nodo_3,Nodo_36,668
Nodo_25,Nodo_36,461
Nodo_38,Nodo_46,329
Nodo_8,Nodo_1,487
Nodo_23,Nodo_33,260
Nodo_9,Nodo_43,96
Nodo_16,Nodo_9,611
Nodo_30,Nodo_17,882
Nodo_7,Nodo_19,4
Nodo_40,Nodo_49,487
Nodo_47,Nodo_24,949
Nodo_34,Nodo_39,694
Nodo_35,Nodo_18,519
Nodo_40,Nodo_3,154
Nodo_2,Nodo_24,924
Nodo_40,Nodo_2,692
Nodo_47,Nodo_33,603
Nodo_32,Nodo_31,560
Nodo_35,Nodo_14,707
Nodo_9,Nodo_27,167
Nodo_15,Nodo_34,715
Nodo_26,Nodo_38,663
Nodo_48,Nodo_22,788
Nodo_24,Nodo_41,451
Nodo_43,Nodo_12,782
Nodo_2,Nodo_3,62
Nodo_21,Nodo_13,772
Nodo_8,Nodo_23,881
Nodo_12,Nodo_50,736
Nodo_45,Nodo_42,706
Nodo_2,Nodo_50,437
Nodo_38,Nodo_15,844
Nodo_32,Nodo_1,74
Nodo_6,Nodo_34,342
Nodo_8,Nodo_46,325
Nodo_4,Nodo_34,140
Nodo_26,Nodo_46,884
Nodo_28,Nodo_25,406
Nodo_49,Nodo_29,39
Nodo_18,Nodo_15,807
Nodo_38,Nodo_45,736
Nodo_12,Nodo_2,769
Nodo_9,Nodo_23,147
Nodo_35,Nodo_8,359
Nodo_40,Nodo_7,604
Nodo_17,Nodo_29,438
Nodo_8,Nodo_15,837
Nodo_1,Nodo_23,517
Nodo_45,Nodo_19,301
Nodo_11,Nodo_14,953
Nodo_23,Nodo_5,797
Nodo_33,Nodo_32,284
Nodo_5,Nodo_3,951
Nodo_12,Nodo_32,16
Nodo_39,Nodo_4,704
Nodo_24,Nodo_11,69
Nodo_34,Nodo_43,549
Nodo_35,Nodo_47,613
Nodo_21,Nodo_20,991
Nodo_26,Nodo_16,421
Nodo_32,Nodo_27,935
Nodo_41,Nodo_43,311
Nodo_20,Nodo_33,215
Nodo_41,Nodo_3,753
Nodo_20,Nodo_42,912
Nodo_50,Nodo_25,981
Nodo_22,Nodo_46,211
Nodo_47,Nodo_34,788
Nodo_43,Nodo_11,908
Nodo_16,Nodo_19,607
Nodo_35,Nodo_22,492
Nodo_6,Nodo_16,932
Nodo_32,Nodo_19,768
Nodo_10,Nodo_16,551
Nodo_32,Nodo_13,107
Nodo_35,Nodo_25,211
Nodo_40,Nodo_25,175
Nodo_31,Nodo_21,959
Nodo_28,Nodo_41,11
Nodo_28,Nodo_4,367
Nodo_33,Nodo_36,629
Nodo_24,Nodo_5,978
Nodo_19,Nodo_7,830
Nodo_10,Nodo_26,654
Nodo_23,Nodo_17,719
Nodo_42,Nodo_20,494
Nodo_41,Nodo_2,29
Nodo_47,Nodo_18,543
Nodo_27,Nodo_25,425
Nodo_40,Nodo_45,599
Nodo_33,Nodo_28,935
Nodo_3,Nodo_5,131
Nodo_20,Nodo_21,398
Nodo_16,Nodo_13,280
Nodo_7,Nodo_36,230
Nodo_25,Nodo_39,375
Nodo_27,Nodo_25,146
Nodo_16,Nodo_37,397
Nodo_6,Nodo_45,127
Nodo_20,Nodo_31,96
Nodo_7,Nodo_9,373
Nodo_40,Nodo_47,296
Nodo_37,Nodo_15,956
Nodo_14,Nodo_33,320
Nodo_49,Nodo_30,18
Nodo_23,Nodo_46,931
Nodo_17,Nodo_6,82
Nodo_48,Nodo_49,321
Nodo_43,Nodo_25,234
Nodo_49,Nodo_47,1000
Nodo_1,Nodo_47,961
Nodo_34,Nodo_19,249
Nodo_19,Nodo_7,348
Nodo_44,Nodo_9,723
Nodo_48,Nodo_16,470
Nodo_38,Nodo_33,321
Nodo_15,Nodo_17,228
Nodo_48,Nodo_47,875
Nodo_32,Nodo_5,491
Nodo_31,Nodo_39,155
Nodo_36,Nodo_15,30
Nodo_6,Nodo_43,392
Nodo_42,Nodo_2,249
Nodo_42,Nodo_50,223
Nodo_10,Nodo_38,692
Nodo_6,Nodo_16,203
Nodo_37,Nodo_46,401
Nodo_40,Nodo_35,117
Nodo_24,Nodo_46,925
Nodo_26,Nodo_28,995
Nodo_49,Nodo_20,641
Nodo_31,Nodo_20,588
Nodo_35,Nodo_4,432
Nodo_46,Nodo_42,774
Nodo_19,Nodo_15,767
Nodo_48,Nodo_47,850
Nodo_1,Nodo_20,574
Nodo_50,Nodo_17,744
Nodo_30,Nodo_16,652
Nodo_44,Nodo_1,830
Nodo_19,Nodo_9,929
Nodo_5,Nodo_48,536
Nodo_39,Nodo_12,427
Nodo_38,Nodo_5,195
Nodo_37,Nodo_14,433
Nodo_2,Nodo_15,264
Nodo_7,Nodo_48,167
Nodo_47,Nodo_14,92
Nodo_6,Nodo_15,661
Nodo_21,Nodo_36,620
Nodo_1,Nodo_30,280
Nodo_3,Nodo_36,382
Nodo_22,Nodo_39,968
Nodo_36,Nodo_32,122
Nodo_18,Nodo_37,712
Nodo_36,Nodo_48,131
Nodo_26,Nodo_14,857
Nodo_43,Nodo_9,339
Nodo_37,Nodo_19,584
Nodo_24,Nodo_12,556
Nodo_33,Nodo_13,441
Nodo_42,Nodo_39,452
Nodo_2,Nodo_20,961
Nodo_11,Nodo_42,373
Nodo_7,Nodo_44,696
Nodo_7,Nodo_3,846
Nodo_9,Nodo_48,166
Nodo_31,Nodo_40,711
Nodo_47,Nodo_28,612
Nodo_19,Nodo_17,759
Nodo_49,Nodo_23,588
Nodo_15,Nodo_23,934
Nodo_35,Nodo_22,88
Nodo_43,Nodo_10,939
Nodo_42,Nodo_37,888
Nodo_9,Nodo_38,480
Nodo_22,Nodo_7,605
Nodo_25,Nodo_31,586
Nodo_39,Nodo_20,217
Nodo_13,Nodo_48,607
Nodo_3,Nodo_44,628
Nodo_39,Nodo_26,169
Nodo_22,Nodo_1,130
Nodo_28,Nodo_8,780
Nodo_36,Nodo_14,349
Nodo_16,Nodo_39,178
Nodo_21,Nodo_7,104
Nodo_34,Nodo_15,626
Nodo_7,Nodo_29,769
Nodo_50,Nodo_36,691
Nodo_3,Nodo_35,406
Nodo_20,Nodo_49,379
Nodo_13,Nodo_6,162
Nodo_46,Nodo_18,300
Nodo_48,Nodo_8,345
Nodo_18,Nodo_31,833
Nodo_5,Nodo_44,796
Nodo_1,Nodo_37,852
Nodo_11,Nodo_6,508
Nodo_27,Nodo_45,253
Nodo_9,Nodo_11,3
Nodo_27,Nodo_2,424
Nodo_15,Nodo_46,662
Nodo_5,Nodo_43,524
Nodo_28,Nodo_21,947
Nodo_10,Nodo_49,84
Nodo_23,Nodo_29,578
Nodo_3,Nodo_28,139
Nodo_14,Nodo_47,686
Nodo_35,Nodo_9,608
Nodo_40,Nodo_16,842
Nodo_14,Nodo_33,397
Nodo_41,Nodo_25,926
Nodo_44,Nodo_24,361
Nodo_17,Nodo_28,820
Nodo_22,Nodo_20,445
Nodo_30,Nodo_16,79
Nodo_20,Nodo_25,46
Nodo_26,Nodo_15,703
Nodo_40,Nodo_8,351
Nodo_27,Nodo_25,232
Nodo_2,Nodo_6,225
Nodo_41,Nodo_44,584
Nodo_9,Nodo_45,543
Nodo_4,Nodo_28,59
Nodo_20,Nodo_15,266
Nodo_44,Nodo_3,101
Nodo_33,Nodo_15,364
Nodo_16,Nodo_47,544
Nodo_24,Nodo_41,365
Nodo_1,Nodo_28,32
Nodo_50,Nodo_34,427
Nodo_13,Nodo_16,352
Nodo_33,Nodo_15,187
Nodo_49,Nodo_41,857
Nodo_19,Nodo_47,59
Nodo_49,Nodo_4,815
Nodo_14,Nodo_38,824
Nodo_31,Nodo_37,782
Nodo_15,Nodo_20,500
Nodo_43,Nodo_38,365
Nodo_11,Nodo_39,864
Nodo_24,Nodo_25,9
Nodo_38,Nodo_25,111
Nodo_30,Nodo_14,909
Nodo_20,Nodo_18,398
Nodo_6,Nodo_11,749
Nodo_41,Nodo_30,119
Nodo_46,Nodo_22,308
Nodo_19,Nodo_26,683
Nodo_38,Nodo_34,300
Nodo_4,Nodo_46,261
Nodo_18,Nodo_20,15
Nodo_12,Nodo_16,220
Nodo_42,Nodo_22,300
Nodo_1,Nodo_27,575
Nodo_40,Nodo_4,504
Nodo_2,Nodo_13,209
Nodo_6,Nodo_20,889
Nodo_7,Nodo_49,919
Nodo_21,Nodo_13,466
Nodo_28,Nodo_44,85
Nodo_24,Nodo_12,749
Nodo_5,Nodo_38,19
Nodo_33,Nodo_5,634
Nodo_1,Nodo_33,400
Nodo_13,Nodo_47,438
Nodo_40,Nodo_9,618
Nodo_35,Nodo_49,935
Nodo_8,Nodo_15,778
Nodo_26,Nodo_3,221
Nodo_4,Nodo_21,644
Nodo_46,Nodo_22,761
Nodo_27,Nodo_4,476
Nodo_13,Nodo_32,545
Nodo_17,Nodo_32,918
Nodo_32,Nodo_34,314
Nodo_34,Nodo_3,28
Nodo_46,Nodo_13,886
Nodo_26,Nodo_50,502
Nodo_34,Nodo_44,199
Nodo_29,Nodo_32,670
Nodo_42,Nodo_6,479
Nodo_25,Nodo_1,691
Nodo_8,Nodo_49,780
Nodo_24,Nodo_22,10
Nodo_3,Nodo_32,237
Nodo_36,Nodo_22,728
Nodo_3,Nodo_18,861
Nodo_22,Nodo_23,287
Nodo_6,Nodo_15,160
Nodo_49,Nodo_14,45
Nodo_44,Nodo_1,492
Nodo_36,Nodo_25,355
Nodo_15,Nodo_5,851
Nodo_18,Nodo_32,778
Nodo_6,Nodo_9,520
Nodo_29,Nodo_50,973
Nodo_7,Nodo_49,694
Nodo_23,Nodo_45,230
Nodo_11,Nodo_36,39
Nodo_24,Nodo_21,92
Nodo_28,Nodo_31,208
Nodo_4,Nodo_10,640
Nodo_35,Nodo_26,345
Nodo_49,Nodo_32,619
Nodo_12,Nodo_50,218
Nodo_9,Nodo_7,719
Nodo_14,Nodo_47,211
Nodo_9,Nodo_46,2
Nodo_13,Nodo_18,490
Nodo_15,Nodo_21,895
Nodo_6,Nodo_11,453
Nodo_40,Nodo_12,221
Nodo_9,Nodo_4,900
Nodo_5,Nodo_48,700
Nodo_35,Nodo_4,489
Nodo_30,Nodo_14,284
Nodo_25,Nodo_38,611
Nodo_21,Nodo_29,715
Nodo_12,Nodo_7,586
Nodo_13,Nodo_23,267
Nodo_24,Nodo_9,423
Nodo_36,Nodo_28,15
Nodo_7,Nodo_46,1000
Nodo_35,Nodo_26,235
Nodo_42,Nodo_3,304
Nodo_25,Nodo_46,866
Nodo_27,Nodo_46,13
Nodo_5,Nodo_25,972
Nodo_1,Nodo_12,315
Nodo_44,Nodo_46,648
Nodo_2,Nodo_3,777
Nodo_3,Nodo_38,400
Nodo_33,Nodo_2,5
Nodo_49,Nodo_24,801
Nodo_4,Nodo_32,171
Nodo_31,Nodo_5,707
Nodo_30,Nodo_46,412
Nodo_29,Nodo_11,692
Nodo_48,Nodo_39,835
Nodo_43,Nodo_49,112
Nodo_2,Nodo_5,345
Nodo_18,Nodo_49,932
Nodo_2,Nodo_11,149
Nodo_17,Nodo_16,476
Nodo_40,Nodo_18,145
Nodo_50,Nodo_38,808
Nodo_27,Nodo_22,947
Nodo_46,Nodo_25,922
Nodo_2,Nodo_46,652
Nodo_16,Nodo_47,269
Nodo_6,Nodo_14,26
Nodo_14,Nodo_43,1
Nodo_23,Nodo_5,45
Nodo_35,Nodo_2,229
Nodo_47,Nodo_21,676
Nodo_35,Nodo_39,489
Nodo_47,Nodo_15,286
Nodo_49,Nodo_17,946
Nodo_50,Nodo_33,493
Nodo_39,Nodo_12,55
Nodo_22,Nodo_45,25
Nodo_35,Nodo_7,338
Nodo_7,Nodo_24,487
Nodo_3,Nodo_41,172
Nodo_35,Nodo_13,225
Nodo_37,Nodo_27,989
Nodo_32,Nodo_47,420
Nodo_40,Nodo_18,918
Nodo_39,Nodo_6,481
Nodo_24,Nodo_13,106
Nodo_27,Nodo_30,778
Nodo_8,Nodo_43,416
Nodo_10,Nodo_16,556
Nodo_6,Nodo_10,71
Nodo_36,Nodo_48,793
Nodo_4,Nodo_34,655
Nodo_37,Nodo_29,885
Nodo_48,Nodo_26,623
Nodo_26,Nodo_8,796
Nodo_15,Nodo_1,335
Nodo_36,Nodo_1,436
Nodo_10,Nodo_9,640
Nodo_24,Nodo_13,721
Nodo_30,Nodo_23,449
Nodo_30,Nodo_45,665
Nodo_4,Nodo_29,269
Nodo_48,Nodo_9,848
Nodo_29,Nodo_47,813
Nodo_10,Nodo_12,414
Nodo_20,Nodo_42,466
Nodo_50,Nodo_9,585
Nodo_22,Nodo_10,325
Nodo_48,Nodo_46,911
Nodo_25,Nodo_14,466
Nodo_42,Nodo_36,759
Nodo_28,Nodo_27,338
Nodo_39,Nodo_11,743
Nodo_47,Nodo_41,132
Nodo_31,Nodo_34,783
Nodo_28,Nodo_16,9
Nodo_21,Nodo_19,470
Nodo_37,Nodo_30,365
Nodo_10,Nodo_28,79
Nodo_31,Nodo_6,541
Nodo_9,Nodo_18,144
Nodo_18,Nodo_1,567
Nodo_37,Nodo_9,12
Nodo_12,Nodo_50,820
Nodo_23,Nodo_20,690
Nodo_1,Nodo_15,410
Nodo_8,Nodo_30,897
Nodo_45,Nodo_21,81
Nodo_22,Nodo_4,235
Nodo_37,Nodo_32,763
Nodo_11,Nodo_24,409
Nodo_34,Nodo_46,333
Nodo_36,Nodo_40,908
Nodo_7,Nodo_24,785
Nodo_19,Nodo_38,604
Nodo_20,Nodo_18,957
Nodo_3,Nodo_20,79
Nodo_50,Nodo_41,371
Nodo_3,Nodo_36,51
Nodo_43,Nodo_30,299
Nodo_32,Nodo_14,319
Nodo_7,Nodo_33,177
Nodo_46,Nodo_33,145
Nodo_2,Nodo_23,825
Nodo_19,Nodo_15,593
Nodo_16,Nodo_25,270
Nodo_14,Nodo_9,428
Nodo_8,Nodo_26,221
Nodo_42,Nodo_49,120
Nodo_19,Nodo_49,623
Nodo_42,Nodo_50,641
Nodo_38,Nodo_29,83
Nodo_1,Nodo_42,630
Nodo_15,Nodo_1,124
Nodo_34,Nodo_4,733
Nodo_1,Nodo_14,247
Nodo_33,Nodo_29,77
Nodo_7,Nodo_15,779
Nodo_24,Nodo_4,305
Nodo_18,Nodo_26,416
Nodo_22,Nodo_9,880
Nodo_32,Nodo_8,886
Nodo_21,Nodo_29,928
Nodo_8,Nodo_19,25
Nodo_30,Nodo_4,848
Nodo_4,Nodo_25,551
Nodo_32,Nodo_20,513
Nodo_26,Nodo_48,936
Nodo_33,Nodo_50,658
Nodo_7,Nodo_22,106
Nodo_40,Nodo_37,352
Nodo_42,Nodo_18,315
Nodo_26,Nodo_32,987
Nodo_32,Nodo_20,728
Nodo_22,Nodo_27,84
Nodo_48,Nodo_6,31
Nodo_19,Nodo_17,95
Nodo_42,Nodo_17,406
Nodo_14,Nodo_34,931
Nodo_29,Nodo_31,932
Nodo_25,Nodo_22,182
Nodo_23,Nodo_14,234
Nodo_39,Nodo_33,390
Nodo_5,Nodo_30,928
Nodo_47,Nodo_4,407
Nodo_42,Nodo_25,771
Nodo_20,Nodo_39,488
Nodo_1,Nodo_50,651
Nodo_46,Nodo_24,669
Nodo_50,Nodo_15,605
Nodo_15,Nodo_41,243
Nodo_22,Nodo_24,692
Nodo_16,Nodo_50,501
Nodo_29,Nodo_35,202
Nodo_4,Nodo_33,390
Nodo_24,Nodo_4,889
Nodo_13,Nodo_22,251
Nodo_27,Nodo_33,796
Nodo_50,Nodo_42,861
Nodo_38,Nodo_18,24
Nodo_9,Nodo_46,284
Nodo_7,Nodo_20,882
Nodo_35,Nodo_15,650
Nodo_25,Nodo_39,942
Nodo_31,Nodo_10,250
Nodo_23,Nodo_5,396
Nodo_27,Nodo_1,997
Nodo_50,Nodo_38,932
Nodo_35,Nodo_22,425
Nodo_14,Nodo_49,574
Nodo_38,Nodo_6,962
Nodo_29,Nodo_10,650
Nodo_46,Nodo_12,492
Nodo_29,Nodo_37,589
Nodo_20,Nodo_33,326
Nodo_33,Nodo_39,327
Nodo_34,Nodo_32,167
Nodo_39,Nodo_8,579
Nodo_33,Nodo_1,590
Nodo_22,Nodo_5,431
Nodo_6,Nodo_28,721
Nodo_1,Nodo_9,252
Nodo_25,Nodo_16,743
Nodo_5,Nodo_33,912
Nodo_34,Nodo_26,474
Nodo_8,Nodo_33,268
Nodo_43,Nodo_44,85
Nodo_21,Nodo_30,723
Nodo_28,Nodo_44,260
Nodo_15,Nodo_37,808
Nodo_12,Nodo_13,402
Nodo_32,Nodo_16,411
Nodo_35,Nodo_48,155
Nodo_22,Nodo_38,303
Nodo_18,Nodo_37,941
Nodo_10,Nodo_11,450
Nodo_24,Nodo_49,200
Nodo_19,Nodo_46,413
Nodo_23,Nodo_22,637
Nodo_38,Nodo_4,996
Nodo_21,Nodo_46,520
Nodo_47,Nodo_12,5
Nodo_1,Nodo_8,585
Nodo_14,Nodo_44,449
Nodo_13,Nodo_45,536
Nodo_16,Nodo_25,897
Nodo_36,Nodo_32,764
Nodo_11,Nodo_50,416
Nodo_17,Nodo_3,858
Nodo_27,Nodo_43,519
Nodo_16,Nodo_46,314
Nodo_12,Nodo_28,686
Nodo_27,Nodo_19,464
Nodo_5,Nodo_46,477
Nodo_35,Nodo_44,49
Nodo_40,Nodo_22,676
Nodo_40,Nodo_24,510
Nodo_6,Nodo_27,612
Nodo_41,Nodo_22,30
Nodo_36,Nodo_32,874
Nodo_33,Nodo_38,841
Nodo_1,Nodo_47,673
Nodo_38,Nodo_13,224
Nodo_44,Nodo_27,269
Nodo_30,Nodo_16,974
Nodo_9,Nodo_34,623
Nodo_16,Nodo_19,452
Nodo_49,Nodo_38,550
Nodo_16,Nodo_30,925
Nodo_13,Nodo_49,349
Nodo_49,Nodo_5,876
Nodo_44,Nodo_33,16
Nodo_18,Nodo_32,633
Nodo_2,Nodo_46,469
Nodo_6,Nodo_5,695
Nodo_27,Nodo_5,95
Nodo_50,Nodo_42,496
Nodo_28,Nodo_43,845
Nodo_2,Nodo_34,931
Nodo_43,Nodo_17,16
Nodo_13,Nodo_18,231
Nodo_35,Nodo_50,561
Nodo_34,Nodo_18,230
Nodo_43,Nodo_48,500
Nodo_23,Nodo_43,48
Nodo_34,Nodo_15,413
Nodo_28,Nodo_19,401
Nodo_39,Nodo_9,228
Nodo_47,Nodo_21,359
Nodo_29,Nodo_13,909
Nodo_22,Nodo_41,738
Nodo_42,Nodo_45,549
Nodo_26,Nodo_45,605
Nodo_34,Nodo_37,515
Nodo_6,Nodo_8,189
Nodo_23,Nodo_40,880
Nodo_5,Nodo_8,223
Nodo_22,Nodo_27,606
Nodo_43,Nodo_18,334
Nodo_18,Nodo_21,54
Nodo_11,Nodo_42,665
Nodo_5,Nodo_33,583
Nodo_3,Nodo_22,263
Nodo_46,Nodo_41,5
Nodo_28,Nodo_39,163
Nodo_8,Nodo_37,215
Nodo_4,Nodo_38,549
Nodo_7,Nodo_32,958
Nodo_9,Nodo_45,585
Nodo_7,Nodo_14,99
Nodo_13,Nodo_8,499
Nodo_4,Nodo_33,50
Nodo_36,Nodo_10,729
Nodo_10,Nodo_8,504
Nodo_16,Nodo_19,899
Nodo_36,Nodo_37,807
Nodo_32,Nodo_40,615
Nodo_29,Nodo_12,535
Nodo_15,Nodo_25,799
Nodo_4,Nodo_36,610
Nodo_46,Nodo_9,664
Nodo_8,Nodo_35,494
Nodo_8,Nodo_7,54
Nodo_32,Nodo_49,642
Nodo_29,Nodo_20,954
Nodo_16,Nodo_29,685
Nodo_47,Nodo_25,142
Nodo_34,Nodo_3,208
Nodo_22,Nodo_45,263
Nodo_37,Nodo_30,970
Nodo_41,Nodo_45,3
Nodo_10,Nodo_37,728
Nodo_25,Nodo_13,454
Nodo_41,Nodo_7,648
Nodo_2,Nodo_23,16
Nodo_10,Nodo_46,862
Nodo_42,Nodo_26,10
Nodo_8,Nodo_25,794
Nodo_37,Nodo_3,10
Nodo_20,Nodo_39,353
Nodo_34,Nodo_48,286
Nodo_22,Nodo_42,450
Nodo_12,Nodo_11,544
Nodo_23,Nodo_47,496
Nodo_13,Nodo_12,202
Nodo_32,Nodo_16,250
Nodo_6,Nodo_7,138
Nodo_26,Nodo_14,540
Nodo_15,Nodo_20,841
Nodo_22,Nodo_40,142
Nodo_32,Nodo_30,356
Nodo_44,Nodo_2,61
Nodo_36,Nodo_16,415
Nodo_43,Nodo_9,697
Nodo_27,Nodo_15,365
Nodo_21,Nodo_29,961
Nodo_39,Nodo_4,640
Nodo_17,Nodo_30,432
Nodo_44,Nodo_10,343
Nodo_18,Nodo_26,840
Nodo_46,Nodo_37,140
Nodo_19,Nodo_28,898
Nodo_14,Nodo_7,438
Nodo_46,Nodo_23,452
Nodo_3,Nodo_6,926
Nodo_8,Nodo_4,743
Nodo_5,Nodo_34,530
Nodo_48,Nodo_43,801
Nodo_23,Nodo_40,323
Nodo_5,Nodo_22,866
Nodo_4,Nodo_21,348
Nodo_3,Nodo_24,846
Nodo_42,Nodo_1,129
Nodo_40,Nodo_16,257
Nodo_37,Nodo_17,195
Nodo_48,Nodo_43,428
Nodo_29,Nodo_34,175
Nodo_1,Nodo_27,915
Nodo_34,Nodo_45,787
Nodo_13,Nodo_23,20
Nodo_44,Nodo_1,363
Nodo_9,Nodo_12,176
Nodo_36,Nodo_29,42
Nodo_36,Nodo_5,992
Nodo_39,Nodo_33,193
Nodo_2,Nodo_6,854
Nodo_29,Nodo_15,131
Nodo_14,Nodo_31,720
Nodo_44,Nodo_40,271
Nodo_23,Nodo_32,414
Nodo_44,Nodo_22,662
Nodo_27,Nodo_8,303
Nodo_9,Nodo_40,864
Nodo_40,Nodo_1,223
Nodo_49,Nodo_47,18
Nodo_12,Nodo_33,673
Nodo_43,Nodo_45,28
Nodo_4,Nodo_30,660
Nodo_41,Nodo_40,548
Nodo_15,Nodo_37,277
Nodo_22,Nodo_50,186
Nodo_16,Nodo_13,431
Nodo_22,Nodo_1,489
Nodo_35,Nodo_1,488
Nodo_18,Nodo_14,24
Nodo_50,Nodo_19,396
Nodo_48,Nodo_30,251
Nodo_16,Nodo_6,809
Nodo_28,Nodo_34,466
Nodo_6,Nodo_34,934
Nodo_27,Nodo_35,543
Nodo_38,Nodo_8,81
Nodo_46,Nodo_26,158
Nodo_44,Nodo_31,839
Nodo_48,Nodo_16,611
Nodo_11,Nodo_14,323
Nodo_22,Nodo_49,200
Nodo_43,Nodo_14,105
Nodo_23,Nodo_5,626
Nodo_45,Nodo_38,261
Nodo_3,Nodo_30,17
Nodo_9,Nodo_41,248
Nodo_24,Nodo_23,571
Nodo_6,Nodo_29,987
Nodo_30,Nodo_39,447
Nodo_22,Nodo_15,618
Nodo_48,Nodo_41,304
Nodo_8,Nodo_21,364
Nodo_11,Nodo_34,878
Nodo_24,Nodo_34,120
Nodo_5,Nodo_31,454
Nodo_48,Nodo_17,679
Nodo_42,Nodo_9,517
Nodo_6,Nodo_29,357
Nodo_16,Nodo_20,250
Nodo_38,Nodo_16,978
Nodo_12,Nodo_15,817
Nodo_48,Nodo_1,497
Nodo_2,Nodo_20,190
Nodo_2,Nodo_34,879
Nodo_35,Nodo_43,926
Nodo_34,Nodo_48,489
Nodo_28,Nodo_42,261
Nodo_5,Nodo_38,350
Nodo_46,Nodo_2,801
Nodo_28,Nodo_34,685
Nodo_21,Nodo_29,692
Nodo_38,Nodo_29,938
Nodo_36,Nodo_49,589
Nodo_37,Nodo_34,645
Nodo_29,Nodo_40,396
Nodo_2,Nodo_23,401
Nodo_31,Nodo_18,689
Nodo_40,Nodo_16,449
Nodo_29,Nodo_10,885
Nodo_6,Nodo_25,652
Nodo_42,Nodo_32,638
Nodo_47,Nodo_49,565
Nodo_45,Nodo_1,399
Nodo_11,Nodo_10,421
Nodo_12,Nodo_50,480
Nodo_25,Nodo_7,38
Nodo_13,Nodo_4,357
Nodo_10,Nodo_8,591
Nodo_16,Nodo_6,613
Nodo_4,Nodo_49,438
Nodo_6,Nodo_25,351
Nodo_36,Nodo_32,965
Nodo_29,Nodo_3,582
Nodo_45,Nodo_47,70
Nodo_11,Nodo_7,810
Nodo_39,Nodo_24,669
Nodo_41,Nodo_6,423
Nodo_23,Nodo_29,63
Nodo_16,Nodo_22,144
Nodo_29,Nodo_31,100
Nodo_50,Nodo_9,329
Nodo_46,Nodo_26,624
Nodo_50,Nodo_34,239
Nodo_29,Nodo_14,60
Nodo_23,Nodo_17,823
Nodo_50,Nodo_17,157
Nodo_23,Nodo_27,488
Nodo_43,Nodo_10,557
Nodo_23,Nodo_21,382
Nodo_5,Nodo_33,961
Nodo_29,Nodo_22,39
Nodo_10,Nodo_1,342
Nodo_12,Nodo_22,558
Nodo_35,Nodo_16,580
Nodo_14,Nodo_4,942
Nodo_28,Nodo_38,81
Nodo_40,Nodo_45,835
Nodo_38,Nodo_48,785
Nodo_13,Nodo_18,796
Nodo_30,Nodo_37,618
Nodo_16,Nodo_47,231
Nodo_36,Nodo_7,92
Nodo_49,Nodo_16,670
Nodo_35,Nodo_20,626
Nodo_2,Nodo_1,135
Nodo_43,Nodo_14,388
Nodo_8,Nodo_44,336
Nodo_11,Nodo_15,432
Nodo_32,Nodo_45,183
Nodo_1,Nodo_45,441
Nodo_32,Nodo_39,460
Nodo_9,Nodo_16,603
Nodo_15,Nodo_28,16
Nodo_32,Nodo_43,191
Nodo_19,Nodo_8,823
Nodo_6,Nodo_7,256
Nodo_26,Nodo_11,938
Nodo_34,Nodo_5,874
Nodo_43,Nodo_26,565
Nodo_42,Nodo_23,449
Nodo_11,Nodo_16,59
Nodo_41,Nodo_46,231
Nodo_28,Nodo_40,50
Nodo_45,Nodo_49,232
Nodo_20,Nodo_24,276
Nodo_19,Nodo_33,583
Nodo_33,Nodo_18,253
Nodo_15,Nodo_43,237
Nodo_46,Nodo_7,393
Nodo_25,Nodo_29,935
Nodo_23,Nodo_30,7
Nodo_8,Nodo_15,882
Nodo_46,Nodo_9,447
Nodo_4,Nodo_25,561
Nodo_24,Nodo_3,922
Nodo_49,Nodo_5,757
Nodo_19,Nodo_41,531
Nodo_24,Nodo_39,424
Nodo_35,Nodo_44,444
Nodo_45,Nodo_49,958
Nodo_2,Nodo_17,192
Nodo_14,Nodo_35,643
Nodo_23,Nodo_38,428
Nodo_47,Nodo_4,82
Nodo_18,Nodo_44,249
Nodo_45,Nodo_7,119
Nodo_25,Nodo_49,270
Nodo_31,Nodo_3,311
Nodo_4,Nodo_31,941
Nodo_41,Nodo_23,187
Nodo_29,Nodo_34,498
Nodo_14,Nodo_24,676
